更新时间,#genre#
20260101-18-35-00,url


RespoTime,whitelist,#genre#
68.15ms,海南卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=38cc59&tk=922ba46651d3
72.74ms,莲花卫视,http://php.jdshipin.com:8880/amlh.php
77.94ms,北京生活,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=btv7&videoTVChannel=btv7&P2PChannelID=pd://cctv_p2p_hdbtv7&tai=btv7&VideoName=btv7&channelID=btv7
80.17ms,家庭影院,http://eastscreen.tv/ooooo.php?id=chcjt
87.30ms,动物星球,https://live.catvod.com/live.php?id=animalplanet_twn
90.39ms,TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
92.71ms,CHC动作电影,http://eastscreen.tv/ooooo.php?id=chcdz
97.94ms,明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
99.45ms,无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
103.12ms,CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
104.68ms,黑龙江卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=cf281b&tk=822270345d4c
109.69ms,北京新闻,http://satellitepull.cnr.cn/live/wxbjxwgb/playlist.m3u8
110.86ms,CCTV11-戏曲,https://migu.188766.xyz/?migutoken=061bc878d937f2d171bf5f13661d3cd1&id=CCTV11&pp=1
111.69ms,CCTV13-新闻,https://migu.188766.xyz/?migutoken=86ddb80bdeb7b3e74120e437c7b84da1&id=CCTV13&pp=1
112.09ms,黑龙江卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5cd779&tk=6949f8ce7202
112.38ms,CHC影迷电影,https://migu.188766.xyz/?migutoken=8371b5f214d33a95aa7325a9a638569a&id=CHC%E5%BD%B1%E8%BF%B7%E7%94%B5%E5%BD%B1&pp=1
113.35ms,CCTV10-科教,https://migu.188766.xyz/?migutoken=d41a8f78551b190f43c49712c0b478b1&id=CCTV10&type=yy
113.84ms,CCTV10-科教,https://migu.188766.xyz/?migutoken=11910a49b78457d30f49d41977140800&id=CCTV10&type=yy
113.92ms,陕西卫视,https://migu.188766.xyz/?migutoken=f03cda3b68fa36aad3942af0e88aa5e4&id=%E9%99%95%E8%A5%BF%E5%8D%AB%E8%A7%86&type=yy
114.72ms,CCTV9-纪录,https://migu.188766.xyz/?migutoken=f563f0f6dec5213db6cceeb36e7ac91e&id=CCTV9&pp=1
114.78ms,东方卫视,https://migu.188766.xyz/?migutoken=2ff030655ef9225f3c4f8515872cf77a&id=%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86&pp=1
114.80ms,广东卫视,https://migu.188766.xyz/?migutoken=8f8060c57def0224cb26f4658cb3cc04&id=%E5%B9%BF%E4%B8%9C%E5%8D%AB%E8%A7%86&pp=1
114.85ms,江苏卫视,https://migu.188766.xyz/?migutoken=283001f6e759590067acaf4f7a70597c&id=%E6%B1%9F%E8%8B%8F%E5%8D%AB%E8%A7%86&type=yy
115.71ms,浙江卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6c4032&tk=922ba46651d3
115.90ms,CCTV14-少儿,https://migu.188766.xyz/?migutoken=54876bc782e4fd566290f1615cb71963&id=CCTV14&pp=1
116.70ms,江西卫视,https://migu.188766.xyz/?migutoken=7c45889d517e4de66ef8a6d88fc5addd&id=%E6%B1%9F%E8%A5%BF%E5%8D%AB%E8%A7%86&pp=1
116.73ms,CCTV3-综艺,https://migu.188766.xyz/?migutoken=bf3ee022764a084a05111476c70bbc51&id=CCTV3&pp=1
117.14ms,CCTV7-国防军事,https://migu.188766.xyz/?migutoken=2f83488c99a17cfc86839cba398e3077&id=CCTV7&pp=1
118.89ms,CCTV11-戏曲,https://migu.188766.xyz/?migutoken=69384009853586cf85b8bce7fd509548&id=CCTV11&pp=1
119.41ms,内蒙古卫视,https://migu.188766.xyz/?migutoken=27c077f63c956ff1fcb2657aef0b9fa0&id=%E5%86%85%E8%92%99%E5%8F%A4%E5%8D%AB%E8%A7%86&pp=1
120.29ms,内蒙古卫视,https://migu.188766.xyz/?migutoken=d94a0825a6f6ba9a456c3530f33c30be&id=%E5%86%85%E8%92%99%E5%8F%A4%E5%8D%AB%E8%A7%86&pp=1
120.60ms,CCTV2-财经,https://migu.188766.xyz/?migutoken=bf7cc905ecbeb635c3b127752416d714&id=CCTV2&pp=1
121.27ms,三沙卫视,https://migu.188766.xyz/?migutoken=edce383f00242998509e9ea332a80ee6&id=hn_ssws&type=sz
123.75ms,CCTV12-社会与法,https://migu.188766.xyz/?migutoken=ce37c62a65b3eb7359a9f02b6c854deb&id=CCTV12&pp=1
124.35ms,CCTV13-新闻,https://migu.188766.xyz/?migutoken=fb10e573c46cf21c43b620c140822fc2&id=CCTV13&pp=1
125.05ms,山西卫视,https://iptv.catvod.com/live.php?id=%E5%B1%B1%E8%A5%BF%E5%8D%AB%E8%A7%86%E5%8F%B0
125.91ms,CCTV5+体育赛事,https://migu.188766.xyz/?migutoken=86ff1237343ef4fed4e3b49f6273b5e5&id=CCTV5p&pp=1
126.43ms,广东卫视,https://iptv.catvod.com/live.php?id=%E5%B9%BF%E4%B8%9C%E5%8D%AB%E8%A7%86%E5%8F%B0
127.52ms,CCTV15-音乐,https://migu.188766.xyz/?migutoken=d0981e46641135a473f39c5a9d5ca509&id=CCTV15&type=yy
127.82ms,农林卫视,https://migu.188766.xyz/?migutoken=4f136fb43a375c79937ff4cdd2831da0&id=%E4%B8%AD%E5%9B%BD%E5%86%9C%E6%9E%97%E5%8D%AB%E8%A7%86&type=yy
128.90ms,CCTV2-财经,https://migu.188766.xyz/?migutoken=7ca4dd8982587663bdec8e2c4e3090c7&id=CCTV2&pp=1
130.77ms,CCTV8-电视剧,https://migu.188766.xyz/?migutoken=f9d6b9b8879e72bf97c0b41bffcae6cb&id=CCTV8&pp=1
132.59ms,CCTV10-科教,https://migu.188766.xyz/?migutoken=d0367529b6e957831b7fa60e19ab8473&id=CCTV10&pp=1
135.24ms,2022年春晚,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
135.53ms,CCTV1-综合,https://migu.188766.xyz/?migutoken=1ac2dc8f9ec3fca1af84c95a7b423319&id=CCTV1&pp=1
135.88ms,翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
136.02ms,大湾区卫视,https://migu.188766.xyz/?migutoken=bd2d6da4d68957f372216c4cd6921732&id=%E5%A4%A7%E6%B9%BE%E5%8C%BA%E5%8D%AB%E8%A7%86&type=yy
136.95ms,凤凰卫视,https://smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd
138.94ms,2021年春晚,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4
140.07ms,CHC动作电影,https://migu.188766.xyz/?migutoken=4c05cbf8bb50b243732d0d801edc5da9&id=CHC%E5%8A%A8%E4%BD%9C%E7%94%B5%E5%BD%B1&pp=1
142.19ms,CCTV3-综艺,https://migu.188766.xyz/?migutoken=0b7df87367b5556c33fad2bfca554451&id=CCTV3&pp=1
142.50ms,CCTV14-少儿,https://migu.188766.xyz/?migutoken=8ca800731185ef75e97a6dfd5251f7de&id=CCTV14&pp=1
143.01ms,CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
143.06ms,北京新闻,https://satellitepull.cnr.cn/live/wxbjxwgb/playlist.m3u8
148.52ms,翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
152.64ms,CHC家庭影院,https://migu.188766.xyz/?migutoken=497c21ef2c084bc78c93f5b8d1e54d1a&id=CHC%E5%AE%B6%E5%BA%AD%E5%BD%B1%E9%99%A2&pp=1
155.28ms,吉林卫视,https://iptv.catvod.com/live.php?id=%E5%90%89%E6%9E%97%E5%8D%AB%E8%A7%86%E5%8F%B0
155.71ms,2020年春晚,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4
157.60ms,广东卫视,https://migu.188766.xyz/?migutoken=96a6d47336d0d878be5324a886bbe4c6&id=%E5%B9%BF%E4%B8%9C%E5%8D%AB%E8%A7%86&pp=1
160.09ms,农林卫视,https://migu.188766.xyz/?migutoken=0c6c578de940001a28dbe0e225e03265&id=%E4%B8%AD%E5%9B%BD%E5%86%9C%E6%9E%97%E5%8D%AB%E8%A7%86&type=yy
164.33ms,CCTV17-农业农村,https://migu.188766.xyz/?migutoken=cc894d6ab4bcc74325271b1fe3029537&id=CCTV17&pp=1
166.49ms,CCTV10-科教,https://migu.188766.xyz/?migutoken=b829356e66952ab6bd5644a71e8e4f20&id=CCTV10&pp=1
166.69ms,CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
167.66ms,VIUTV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv
167.89ms,CCTV4-中文国际,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8
168.19ms,湖北卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=c2d7ec&tk=822270345d4c
168.34ms,湖北卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=d5f863&tk=6949f8ce7202
170.32ms,东方卫视,https://migu.188766.xyz/?migutoken=963b1a064d1ec0e207b09f4a504d0652&id=%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86&pp=1
172.27ms,CCTV12-社会与法,https://migu.188766.xyz/?migutoken=2e227c203544e8468dce41a4badb9e5a&id=CCTV12&pp=1
173.93ms,江西卫视,https://migu.188766.xyz/?migutoken=65b5c35131b93756d7488e940046c688&id=%E6%B1%9F%E8%A5%BF%E5%8D%AB%E8%A7%86&pp=1
174.31ms,陕西卫视,https://migu.188766.xyz/?migutoken=e901fbacfa24f1cc0d6c5b09321d234e&id=%E9%99%95%E8%A5%BF%E5%8D%AB%E8%A7%86&pp=1
176.81ms,叙州新闻综合,http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8?zsicd
182.50ms,叙州新闻综合,http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8
184.35ms,1905电影网,http://php.jdshipin.com:8880/1905.php?id=1905dy
186.32ms,北京卫视,http://smart.pendy.dpdns.org/Smart.php?id=beijing
189.25ms,1985年春晚,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
190.93ms,CCTV15-音乐,http://smart.pendy.dpdns.org/Smart.php?id=cctv15
193.04ms,凤凰卫视,http://smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd
198.31ms,1989年春晚,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4
200.17ms,广西卫视,http://a21709.tv.netsite.cc/proxy/102904669/102904669.m3u8
204.30ms,湖北卫视,https://smart.pendy.dpdns.org/Smart.php?id=hubei
207.24ms,香港卫视,https://migu.188766.xyz/?migutoken=145dcb0b72db51b7f9e229c32e212c08&id=%E9%A6%99%E6%B8%AF%E5%8D%AB%E8%A7%86&pp=1
207.83ms,福建新闻,http://a21709.tv.netsite.cc/proxy/199601741/199601741.m3u8
208.89ms,寒战2,https://vip.lz-cdn3.com/20220907/12892_5eb849b0/index.m3u8
212.10ms,三沙卫视,https://stream1.freetv.fun/2476872184d56573ae915237d8e3c990ded214446351f568b57889cbf63da2e8.m3u8
212.14ms,江苏卫视,https://stream1.freetv.fun/5f53633b7ea4bc98a9984d9f199f4e45a74a7217a3f939aee14a4846a03dc69c.m3u8
212.17ms,吉林卫视,https://stream1.freetv.fun/ec115ddb27069ec189cbd1363c4bc06def34d3a19b57c979b96ed9201bda04bb.m3u8
212.66ms,上虞新商都,https://stream1.freetv.fun/shang-yu-xin-shang-du-2.m3u8
212.67ms,河南卫视,https://stream1.freetv.fun/30a83f0e3f611bb25ea4cd2d8df9e6b10e7ffbf002513c5e046dd9fb135dc269.m3u8
212.70ms,CHC影迷电影,https://iptv.catvod.com/live.php?id=CHC%E5%BD%B1%E8%BF%B7%E7%94%B5%E5%BD%B1%E5%8F%B0
212.81ms,CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
213.07ms,CCTV16-奥林匹克,https://stream1.freetv.fun/3fa27f5bf8136b49f28d477a805f1219c588cf21ffbada685497c73431d20c6e.m3u8
213.19ms,江苏卫视,https://stream1.freetv.fun/0f935b36e555da8d24b280eec4698b02c1c113abc8ffd506021131a29c843969.m3u8
213.30ms,平湖新闻综合,https://stream1.freetv.fun/ping-hu-xin-wen-zong-he-2.m3u8
213.33ms,吉林卫视,https://stream1.freetv.fun/8121c38afe593255012114e6ba08edcb1081bbdf2f8b5fd5a37e77656435c3a0.m3u8
213.33ms,新疆卫视,https://stream1.freetv.fun/708b18d42d1ca63e7f143d0f5b2a22383f9bcd408efba40a7638e1f7c2176e0b.m3u8
213.76ms,武汉教育,https://stream1.freetv.fun/wu-yi-jiao-yu-8.m3u8
214.29ms,运城科技教育,https://stream1.freetv.fun/yun-cheng-ke-ji-jiao-yu-2.m3u8
214.58ms,邢台综合,https://stream1.freetv.fun/xing-tai-zong-he-4.m3u8
215.33ms,广西卫视,https://smart.pendy.dpdns.org/Smart.php?id=guangxi
216.21ms,浙江生活,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-8.ctv
216.38ms,荆门新闻综合,https://stream1.freetv.fun/jing-men-xin-wen-zong-he-1.m3u8
217.18ms,武义新闻综合,https://stream1.freetv.fun/wu-yi-xin-wen-zong-he-3.m3u8
217.22ms,陕西新闻资讯,http://a21709.tv.netsite.cc/proxy/1595881474/1595881474.m3u8
217.35ms,河北都市,http://a21709.tv.netsite.cc/proxy/1382613512/1382613512.m3u8
217.71ms,宁夏卫视,https://stream1.freetv.fun/9e9a0dd5cc6c79080efcaa9b958ea5c261ee2af517560e301ea605e75e264b70.m3u8
218.00ms,浙江国际,https://stream1.freetv.fun/zhe-jiang-guo-ji-3.m3u8
219.70ms,CCTV16-奥林匹克,https://stream1.freetv.fun/87de3fae6db73a08904421488de7b0ba39e5eccf12a85ec47f8ccfb0985d2fa7.m3u8
220.08ms,CCTV17-农业农村,https://migu.188766.xyz/?migutoken=965b472d1c7001dc1ed42017f667f665&id=CCTV17&pp=1
221.03ms,山东新闻,https://stream1.freetv.fun/shan-dong-xin-wen-1.m3u8
221.89ms,广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-33.ctv
222.39ms,广西卫视,https://stream1.freetv.fun/856f3b6c385dc6ba4a11107e63bfb3bdf228e74251ccb18eef2a2849771c84ea.m3u8
222.80ms,北京卫视,https://stream1.freetv.fun/46ab56946a7aefb0c2efaeead6add73416a1f38b70b457f35faaf98ca19d9321.m3u8
223.29ms,绍兴文化影院,https://stream1.freetv.fun/shao-xing-wen-hua-ying-yuan-1.m3u8
223.38ms,CCTV风云足球,https://epg.pw/stream/ac8062ec9484078061d3bef507c15a423ac57ae4144e3fcc4b0a198dd420f911.m3u8
223.82ms,山东少儿,https://stream1.freetv.fun/shan-dong-shao-er-9.m3u8
224.15ms,山东体育,https://stream1.freetv.fun/shan-dong-ti-yu-9.m3u8
224.20ms,十堰新闻,https://stream1.freetv.fun/shi-yan-xin-wen-2.m3u8
224.37ms,长沙政法,http://a21709.tv.netsite.cc/proxy/298063278/298063278.m3u8
225.10ms,宁夏卫视,https://stream1.freetv.fun/50defa48a94838f581d0fa82dc9255cebfc4ff5ad5f1a0655785e3b90a2b1a7c.m3u8
225.94ms,内蒙古卫视,http://a21709.tv.netsite.cc/proxy/1838037272/1838037272.m3u8
226.40ms,广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-31.ctv
227.14ms,陕西农林,http://a21709.tv.netsite.cc/proxy/1359389546/1359389546.m3u8
227.26ms,河南民生,http://a21709.tv.netsite.cc/proxy/1346087362/1346087362.m3u8
227.39ms,CCTV14-少儿,http://a21709.tv.netsite.cc/proxy/512439688/512439688.m3u8
227.95ms,汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-8.ctv
228.18ms,东南卫视,http://a21709.tv.netsite.cc/proxy/698479958/698479958.m3u8
228.35ms,嵊泗综合,https://stream1.freetv.fun/sheng-zhou-xin-wen-zong-he-1.m3u8
228.50ms,陕西公共,http://a21709.tv.netsite.cc/proxy/1782806707/1782806707.m3u8
228.95ms,长沙新闻综合,http://a21709.tv.netsite.cc/proxy/1524274658/1524274658.m3u8
229.94ms,陕西都市青春,http://a21709.tv.netsite.cc/proxy/391844543/391844543.m3u8
230.06ms,蓬安新闻综合,https://stream1.freetv.fun/peng-an-xin-wen-zong-he-1.m3u8
230.40ms,内蒙古卫视,http://a21709.tv.netsite.cc/proxy/1149350272/1149350272.m3u8
230.45ms,吉林卫视,https://stream1.freetv.fun/1a39dcc5eb485ec258651bac95ae4c25c795204743b5432d0244c333696f8cbb.m3u8
230.99ms,叙州新闻综合,https://stream1.freetv.fun/xu-zhou-xin-wen-zong-he-2.m3u8
231.32ms,十堰新闻,https://stream1.freetv.fun/shi-yan-xin-wen-4.m3u8
231.40ms,广东新闻,https://stream1.freetv.fun/yan-dong-xin-wen-25.ctv
231.65ms,陕西购物,http://a21709.tv.netsite.cc/proxy/1183146985/1183146985.m3u8
231.94ms,CCTV1-综合,http://a21709.tv.netsite.cc/proxy/1387573383/1387573383.m3u8
232.10ms,陕西生活,http://a21709.tv.netsite.cc/proxy/286895848/286895848.m3u8
232.31ms,吉林卫视,https://stream1.freetv.fun/38240e72b022695ae8540afd97ceab0e05e41c051da4785343d3a0fb1e3bbd80.m3u8
232.67ms,凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
232.91ms,青海卫视,http://a21709.tv.netsite.cc/proxy/1152127449/1152127449.m3u8
233.05ms,金鹰纪实,http://a21709.tv.netsite.cc/proxy/46690299/46690299.m3u8
233.06ms,CCTV1-综合,http://a21709.tv.netsite.cc/proxy/1464748337/1464748337.m3u8
233.21ms,河北少儿科教,http://a21709.tv.netsite.cc/proxy/177438581/177438581.m3u8
233.37ms,广元综合,https://stream1.freetv.fun/yan-yuan-zong-he-2.ctv
234.43ms,CCTV13-新闻,https://iptv.catvod.com/live.php?id=CCTV-13
235.49ms,苏州文化生活,https://stream1.freetv.fun/su-zhou-wen-hua-sheng-huo-2.m3u8
236.00ms,汕头综合,https://stream1.freetv.fun/shan-tou-zong-he-4.ctv
236.08ms,周口新闻综合,https://stream1.freetv.fun/zhou-kou-xin-wen-zong-he-2.m3u8
236.32ms,甘肃卫视,http://a21709.tv.netsite.cc/proxy/1209404373/1209404373.m3u8
236.62ms,福建综合,http://a21709.tv.netsite.cc/proxy/269896449/269896449.m3u8
237.26ms,新疆卫视,http://a21709.tv.netsite.cc/proxy/86832656/86832656.m3u8
237.45ms,广元综合,https://stream1.freetv.fun/yan-yuan-zong-he-1.m3u8
237.74ms,CCTV3-综艺,https://iptv.catvod.com/live.php?id=CCTV-3
240.18ms,山东体育,https://stream1.freetv.fun/shan-dong-ti-yu-7.m3u8
241.24ms,CCTV13-新闻,https://api.olelive.com/dis/live/CCTV13HD/hls.m3u8
241.49ms,浙江卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=56747a&tk=922ba46651d3
241.50ms,金川新闻综合,https://stream1.freetv.fun/jin-chuan-xin-wen-zong-he-4.m3u8
242.00ms,蓬安新闻综合,https://stream1.freetv.fun/peng-an-xin-wen-zong-he-2.m3u8
242.37ms,长沙女性,http://a21709.tv.netsite.cc/proxy/1812024686/1812024686.m3u8
242.74ms,山东卫视,http://a21709.tv.netsite.cc/proxy/95712545/95712545.m3u8
242.93ms,金鹰纪实,https://stream1.freetv.fun/jin-ying-ji-shi-23.m3u8
243.71ms,贵州卫视,http://a21709.tv.netsite.cc/proxy/189740973/189740973.m3u8
244.23ms,辽宁卫视,http://a21709.tv.netsite.cc/proxy/463441117/463441117.m3u8
244.23ms,石家庄生活,https://stream1.freetv.fun/shi-jia-zhuang-sheng-huo-1.ctv
244.44ms,河南都市,http://a21709.tv.netsite.cc/proxy/1492902938/1492902938.m3u8
244.74ms,陕西卫视,http://a21709.tv.netsite.cc/proxy/1158533991/1158533991.m3u8
245.56ms,哈哈炫动,https://stream1.freetv.fun/ha-ha-xuan-dong-29.m3u8
245.97ms,浙江国际,http://a21709.tv.netsite.cc/proxy/2031903078/2031903078.m3u8
246.01ms,金鹰卡通,http://a21709.tv.netsite.cc/proxy/1947104640/1947104640.m3u8
246.36ms,1999年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQxNTRfMF8z_b_B0b5e52bc003285ef66ec0cbb2be08556.mp4
246.50ms,天津卫视,http://a21709.tv.netsite.cc/proxy/240376980/240376980.m3u8
246.64ms,深圳卫视,http://a21709.tv.netsite.cc/proxy/457534194/457534194.m3u8
246.88ms,浙江少儿,http://a21709.tv.netsite.cc/proxy/1658458613/1658458613.m3u8
247.59ms,东南卫视,http://a21709.tv.netsite.cc/proxy/1989099435/1989099435.m3u8
247.78ms,汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-6.ctv
248.10ms,浙江卫视,http://a21709.tv.netsite.cc/proxy/257951448/257951448.m3u8
248.17ms,广东卫视,http://a21709.tv.netsite.cc/proxy/573869971/573869971.m3u8
248.94ms,甘肃经济,http://a21709.tv.netsite.cc/proxy/1373372389/1373372389.m3u8
248.95ms,河南卫视,http://a21709.tv.netsite.cc/proxy/251465659/251465659.m3u8
249.02ms,黑龙江卫视,http://a21709.tv.netsite.cc/proxy/982668357/982668357.m3u8
249.21ms,陕西体育休闲,http://a21709.tv.netsite.cc/proxy/742107634/742107634.m3u8
249.33ms,江西卫视,http://a21709.tv.netsite.cc/proxy/203181175/203181175.m3u8
249.39ms,CCTV4-中文国际,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=e94a90&tk=6949f8ce7202
249.41ms,CCTV12-社会与法,https://iptv.catvod.com/live.php?id=CCTV-12
249.55ms,湖南卫视,http://a21709.tv.netsite.cc/proxy/480409838/480409838.m3u8
249.61ms,江苏卫视,http://a21709.tv.netsite.cc/proxy/256947203/256947203.m3u8
249.67ms,甘肃卫视,http://a21709.tv.netsite.cc/proxy/910220240/910220240.m3u8
249.70ms,东方卫视,http://a21709.tv.netsite.cc/proxy/694881013/694881013.m3u8
249.98ms,湖南娱乐,http://a21709.tv.netsite.cc/proxy/884645401/884645401.m3u8
250.14ms,陕西卫视,https://migu.188766.xyz/?migutoken=8469abc0d5aa6ccb99469a494c116046&id=%E9%99%95%E8%A5%BF%E5%8D%AB%E8%A7%86&pp=1
250.24ms,安徽卫视,http://a21709.tv.netsite.cc/proxy/149472807/149472807.m3u8
250.39ms,内蒙少儿,http://a21709.tv.netsite.cc/proxy/772314677/772314677.m3u8
250.45ms,湖北卫视,http://a21709.tv.netsite.cc/proxy/209398845/209398845.m3u8
250.57ms,牛群冯巩两个弄潮儿,https://vd3.bdstatic.com/mda-mkqdhm17rs7198m6/hd/cae_h264/1637859905115117938/mda-mkqdhm17rs7198m6.mp4?pd=19&vt=1
250.74ms,无锡新闻综合,http://a21709.tv.netsite.cc/proxy/1808503557/1808503557.m3u8
250.83ms,湖南都市,http://a21709.tv.netsite.cc/proxy/1116439121/1116439121.m3u8
251.13ms,上虞文化影院,https://stream1.freetv.fun/shang-yu-wen-hua-ying-yuan-3.ctv
251.24ms,CCTV6-电影,http://a21709.tv.netsite.cc/proxy/584456678/584456678.m3u8
251.40ms,宁夏卫视,http://a21709.tv.netsite.cc/proxy/842139022/842139022.m3u8
251.65ms,内蒙经济,http://a21709.tv.netsite.cc/proxy/1043888416/1043888416.m3u8
251.76ms,苍南新闻综合,https://stream1.freetv.fun/cang-nan-xin-wen-zong-he-3.m3u8
252.19ms,CCTV17-农业农村,http://a21709.tv.netsite.cc/proxy/199561397/199561397.m3u8
